id,createdTime,name_th,name_en,description_th,description_en,problem
rec5PIDvUULv2SoS6,2025-06-12T03:45:37.000Z,ตรวจสอบความคุ้มครองประกัน,Check Insurance/Warranty Coverage,ตรวจดูว่าปัญหาหรือการซ่อมแซมที่เกิดขึ้น เข้าข่ายได้รับความคุ้มครองจากประกันบ้านหรือประกันอุปกรณ์หรือไม่,Check if the issue or needed repair might be covered by home insurance or a product warranty to potentially save costs,['recexPwZdWVvZfGQA']
rec5fQ0exUG9SDRgJ,2025-06-12T03:45:37.000Z,กำจัดแหล่งน้ำยุง,Eliminate Standing Water (Mosquitoes),เดินรอบบ้านหาแหล่งน้ำขังเล็ก ๆ เช่น กระถาง จานรอง ที่ยุงวางไข่ และเทน้ำทิ้ง,"Walk around and find any small standing water (planters, trays) where mosquitoes breed, and dump the water out",['recaO6dxe0HppKTbL']
rec6AE7ik7yM3XeWp,2025-06-12T03:45:37.000Z,ตรวจช่องระบายอากาศ,Check Ventilation Openings,ตรวจสอบช่องลม ระบายอากาศต่าง ๆ ว่าไม่ถูกปิดกั้นและอากาศถ่ายเทได้,Check that ventilation grilles and openings aren't blocked and air can flow through them,"['recbuO3HzIiB8GQR7', 'recJTwFpsDoC5GWhn']"
rec6m8LoTk1jrUq3q,2025-06-12T03:45:37.000Z,ล้างห้องน้ำทุกสัปดาห์,Scrub Bathroom Weekly,ตรวจสอบว่าห้องน้ำ (โถสุขภัณฑ์ อ่างล้างหน้า พื้น) ถูกขัดล้างด้วยน้ำยาทำความสะอาดอย่างน้อยสัปดาห์ละครั้ง,"Ensure the bathroom (toilet, sink, floor) is being scrubbed with cleaner at least once a week","['rect30HUVNXuisHEo', 'recLsg9g6Z5IbfuME']"
rec7uAdZ4i3JDWlzF,2025-06-12T03:45:37.000Z,ทำความสะอาดคอยล์ร้อนนอกบ้าน,Clean Outdoor AC Unit,ตรวจดูคอยล์ร้อน (unit นอกบ้าน) ว่าไม่มีฝุ่นสิ่งสกปรกหรือเศษใบไม้ติด และทำความสะอาดถ้าจำเป็น,"Inspect the outdoor AC condenser unit to ensure it's free of dirt and leaves, and clean it if necessary",['recWDseEPuNsnVuqA']
rec8Kl8oAVv8ViYPB,2025-06-12T03:45:37.000Z,หาโอกาสตกแต่งเพิ่มเติม,Identify Spots for Decor Improvement,มองหาผนังโล่งหรือมุมจืดๆ ที่อาจเพิ่มของตกแต่ง (เช่น รูปภาพ กระจก ต้นไม้ในร่ม) เพื่อเพิ่มความมีชีวิตชีวา,"Look for bare walls or dull corners that could benefit from added decor (e.g., pictures, mirrors, indoor plants) to enliven the space",['rec281us7oEtid4a0']
rec8U8i04LTsawIIv,2025-06-12T03:45:37.000Z,ทดสอบความเร็วอินเทอร์เน็ต,Run Internet Speed Test,ใช้เว็บไซต์หรือแอปทดสอบความเร็วอินเทอร์เน็ตเพื่อดูว่าค่าใกล้เคียงกับแพ็กเกจที่สมัครไว้หรือไม่,Use a website or app to run an internet speed test and see if the results are close to the speeds of your subscribed plan,"['recxsjCTLDOFFbpNz', 'recewNHMZxNCOyNOp']"
rec8vc6OhwpQp0sdR,2025-06-12T03:45:37.000Z,จัดแฟ้มบันทึกซ่อมบ้าน,Maintain Home Repair Log,"สร้างแฟ้มหรือเอกสารบันทึกประวัติการซ่อมแซมบ้าน (วันที่, รายการงาน, ค่าใช้จ่าย) และอัพเดททุกครั้งที่มีงาน","Maintain a file or document logging the home's repair history (dates, work done, costs) and update it every time a repair or maintenance job is done","['recIgz50bdOyXR6RP', 'recazJxtMEOPlUCSi']"
rec9upcvb8MUAU9AA,2025-06-12T03:45:37.000Z,ตรวจไม้และวงกบปลวก,Inspect Wood for Termites,เคาะหรือลองกรีดวงกบ ประตู หรือพื้นไม้ดูว่ามีโพรงปลวกหรือผงไม้ร่วงออกมาหรือไม่,"Tap or probe wooden door frames, doors, or flooring to see if termite galleries or wood dust appear",['reckIXMq0GqmT2mto']
recAzU7qq7fVz0ZAJ,2025-06-12T03:45:37.000Z,เช็กแบตเตอรี่อุปกรณ์ไร้สาย,Check Batteries in Wireless Devices,ตรวจไฟสถานะหรือใช้เครื่องวัดแบตฯ สำหรับเซ็นเซอร์ไร้สาย เครื่องตรวจจับควัน และอุปกรณ์รีโมทต่างๆ ว่ายังมีแบตเหลือพอหรือไม่,"Check the status lights or use a tester to ensure wireless sensors, smoke detectors, and remote devices still have sufficient battery charge","['reciz7BtQ3BVYgD0F', 'recovG4v4P8CW7cYR', 'recsNXXLi2hsLjVqw']"
recB3GmEbddMNG3Nu,2025-06-12T03:45:37.000Z,นำขยะออกตามกำหนด,Take Out Trash on Schedule,ตรวจสอบว่ามีการนำถุงขยะออกไปทิ้งนอกบ้านตามตาราง (ทุกวันหรือวันเว้นวัน) อย่างสม่ำเสมอ,Ensure that garbage bags are being taken outside for disposal regularly (daily or every other day) according to schedule,"['rec0Rp87rtsWA9AZf', 'rec0jqy6maUwn4p6I']"
recBvBn4FqvScPUPT,2025-06-12T03:45:37.000Z,ตรวจสภาพสุขอนามัยสัตว์,Check Pet Hygiene Spots,ดูบริเวณที่นอนและชามอาหารของสัตว์เลี้ยงว่ามีคราบสกปรกหรือแมลง (หมัด เห็บ) หรือไม่ แล้วทำความสะอาด,"Inspect the pet's bedding and feeding area for dirt or pests (fleas, ticks), and clean these areas as needed",
recCUuztznsbteGOc,2025-06-12T03:45:37.000Z,สังเกตไฟสถานะเราเตอร์,Observe Router Indicator Lights,ดูไฟบนเราเตอร์และโมเด็มว่าแสดงสถานะการเชื่อมต่ออินเทอร์เน็ตและ Wi-Fi ปกติดี (ไม่มีไฟเตือนความผิดพลาด),Check the lights on the router and modem to ensure they indicate normal internet connectivity and Wi-Fi status (no error indicators),"['recxsjCTLDOFFbpNz', 'recle5VxWpgPH0w7o', 'recm3VSu1cYt6MV8V']"
recCmZEzPClMUw5H3,2025-06-12T03:45:37.000Z,ตรวจวันหมดอายุประกัน/ภาษี,Check Insurance/Tax Due Dates,ตรวจสอบวันที่ต่ออายุประกันบ้าน และภาษีที่ดิน/สิ่งปลูกสร้าง (ถ้ามี) ตั้งเตือนในปฏิทินล่วงหน้า,"Verify the renewal date for home insurance and any property tax deadlines, and set reminders on your calendar ahead of time",['recZubem63liuAbJL']
recDBx6O0wFM52njH,2025-06-12T03:45:37.000Z,ทบทวนงบประมาณรายไตรมาส,Review Budget Quarterly,ทุก 3 เดือน ตรวจยอดค่าใช้จ่ายจริงเทียบกับงบประมาณที่ตั้งไว้ ปรับแผนถ้าพบว่าใช้เงินเกิน,"Every quarter, check actual maintenance spending against the budget and adjust the plan if expenses are exceeding limits","['rec9QehHoASk3FH7M', 'rec15o7HoTQ3PL5s7']"
recE7SPGTVaQ3rgpE,2025-06-12T03:45:37.000Z,แปรงขนสัตว์เลี้ยงประจำ,Brush Pet Regularly,ตรวจตารางการแปรงขน (สุนัข/แมว) ว่าทำบ่อยพอ (อย่างน้อยสัปดาห์ละ 2-3 ครั้ง) ลดปัญหาขนร่วงหรือไม่,"Ensure you brush your pets (dog/cat) frequently (at least 2-3 times a week) to reduce shedding, according to schedule",['recNwCG7roHmoR3vE']
recErKa9ulPchYvsr,2025-06-12T03:45:37.000Z,ทดสอบกล้องและบันทึก,Test Cameras & Recording,ตรวจสอบภาพจากกล้องวงจรปิดทุกตัวผ่านหน้าจอหรือแอป ว่าใช้งานได้และบันทึกได้ปกติ,Verify each security camera's feed through the monitor or app to ensure it's functioning and recording properly,['recmcgN2hSazrekxA']
recF1k7BSm4H7vf5g,2025-06-12T03:45:37.000Z,ตรวจอุณหภูมิเราเตอร์,Check Router Temperature,แตะเครื่องเราเตอร์เบา ๆ เพื่อดูว่าอุ่นหรือร้อนเกินไปหรือไม่ และตรวจสอบช่องระบายอากาศไม่ถูกบัง,"Touch the router gently to feel if it's warm or excessively hot, and make sure its ventilation vents are not blocked","['recewNHMZxNCOyNOp', 'recuGcsADLx4FdtIu']"
recHKFAO8kXTFiZ7p,2025-06-12T03:45:37.000Z,ตรวจสายไฟและอุปกรณ์ว่าชำรุดหรือไม่,Inspect Wiring & Devices for Damage,ตรวจสอบสายไฟ ปลั๊กไฟ สวิตช์ ว่ามีฉนวนขาด รอยแตก หรือรอยไหม้หรือไม่,"Check electrical wires, outlets, and switches for frayed insulation, cracks, or burn marks","['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50', 'recvq15EA1MRfi2BJ', 'recQsQqNwmLxPYfAr', 'recxMaiB3w53VuaFg']"
recHzMrc4C9Ik00Em,2025-06-12T03:45:37.000Z,ทดสอบสัญญาณกันขโมย,Test Alarm System Regularly,เปิดโหมดทดสอบ เดินผ่านเซ็นเซอร์หรือเปิดประตูให้ระบบกันขโมยทำงานเพื่อดูว่าไซเรนดังและแจ้งเตือนหรือไม่,"Put the alarm in test mode and trigger sensors (motion, door) to confirm the siren sounds and notifications are sent as expected","['reciz7BtQ3BVYgD0F', 'recsNXXLi2hsLjVqw']"
recI2WY1UdwuQtZSS,2025-06-12T03:45:37.000Z,เปิด-ปิดบานทุกบาน,Operate All Doors/Windows,ลองเปิดปิดประตูและหน้าต่างทุกบานเพื่อตรวจว่ามีบานใดฝืดหรือติดขัดหรือไม่,Try opening and closing every door and window to see if any are sticking or binding,
recIhOINiN5e5hlsn,2025-06-12T03:45:37.000Z,ทดสอบเครื่องตัดไฟรั่ว (RCD),Test Safety Breaker (RCD/GFCI),กดปุ่มทดสอบของเครื่องตัดไฟรั่ว (ถ้ามี) เพื่อให้แน่ใจว่าทำงานป้องกันไฟดูด,Press the test button on the RCD/GFCI (if present) to ensure it trips properly to prevent electric shock,['recxKrkswZtwLUw50']
recJkdZC6WRtuqzV2,2025-06-12T03:45:37.000Z,รวบรวมเอกสารบ้านไว้ที่เดียว,Consolidate Home Docs in One Place,ตรวจสอบว่าได้เก็บโฉนดบ้าน สัญญา เอกสารสำคัญอื่นๆ ไว้ในแฟ้มหรือกล่องเดียวกันที่ปลอดภัยหรือยัง,"Ensure that the title deed, contracts, and other important documents are stored together in one secure file or box",['recWAIeqPhaFLElGs']
recK0lx8XilIFugIP,2025-06-12T03:45:37.000Z,เช็กการปิดของประตูหน้าต่าง,Check Door/Window Alignment,ลองเปิด-ปิดประตูหน้าต่างทุกบานเพื่อตรวจว่ามีบานไหนติดหรือฝืดจากโครงสร้างยุบตัวหรือไม่,Open and close all doors and windows to detect any that stick or jam due to structural settling,"['rec5cItMuQaEmoEIa', 'recrd9rXbxrLmaLhs', 'receATgPFQqMo4dZC', 'recALEtz5RdNvMgWe']"
recLIqKKGnctDGbTy,2025-06-12T03:45:37.000Z,แยกขยะรีไซเคิล,Separate Recyclables,ตรวจถังหรือถุงขยะรีไซเคิลว่ามีการคัดแยกพลาสติก แก้ว กระดาษออกจากขยะทั่วไปหรือไม่,"Verify that recyclables like plastic, glass, paper are being separated into their own bin/bag and not mixed with general waste",['recfg0IZ2lzo380io']
recMEMifc8j6iVOpA,2025-06-12T03:45:37.000Z,ตรวจเฟอร์นิเจอร์ชำรุด,Check Furniture for Damage,เดินตรวจเฟอร์นิเจอร์ (โซฟา เก้าอี้ โต๊ะ) ว่ามีขาโยก คลอน บุ๋ม หรือผ้าขาดตรงไหนหรือไม่,"Go over furniture (sofas, chairs, tables) to see if any legs are wobbly, cushions sagging, or upholstery torn",['recMd95NIZ795gtkD']
recMno2UGnhaTzYvV,2025-06-12T03:45:37.000Z,ตรวจยาแนวขอบหน้าต่าง,Inspect Caulking at Frames,ตรวจสอบรอยต่อรอบหน้าต่างและประตู (ยาแนว) ว่ายังอยู่ดีไม่มีรอยแตกที่อาจให้น้ำซึมหรือไม่,"Check the caulk around window and door frames to ensure it isn't cracked or missing, which could let moisture in",
recNERmJQ1PAX4gdR,2025-06-12T03:45:37.000Z,ตรวจเชื้อราในห้องชื้น,Check Damp Areas for Mold,ตรวจผนังและยาแนวกระเบื้องในห้องน้ำหรือครัวที่ชื้น ว่ามีคราบเชื้อราหรือไม่,Check walls and tile grout in damp areas like bathrooms or kitchens for any mold or mildew growth,['rec4zYgI9ZFvB3XiM']
recNLrPIcbYDR8b0k,2025-06-12T03:45:37.000Z,สำรวจดินรอบบ้าน,Inspect Soil Around House,เดินสำรวจบริเวณรอบบ้านว่าพื้นดินชิดตัวบ้านมีการทรุดเป็นโพรงหรือแยกออกจากตัวบ้านหรือไม่,"Walk around the house to see if soil adjacent to the foundation has sunken or pulled away, creating voids","['recVOJOQnB8qIgviw', 'recv5bGQjR6nxlngS', 'recPO2Z3SzOINNRGO']"
recQYCdYd17xQN2RE,2025-06-12T03:45:37.000Z,ปิดคัตเอาต์หลักก่อนซ่อม,Ensure Main Power Cutoff Before Work,ตรวจสอบว่าก่อนซ่อมหรือทำงานกับระบบไฟได้ปิดคัตเอาต์หรือเบรกเกอร์หลักทุกครั้งเพื่อความปลอดภัย,Always ensure the main power cutoff or breaker is turned off before any electrical work as a safety measure,"['recxKrkswZtwLUw50', 'recQsQqNwmLxPYfAr']"
recQepvMgQeaC1oOH,2025-06-12T03:45:37.000Z,ทบทวนกรมธรรม์ประกันบ้าน,Review Home Insurance Policy,อ่านเอกสารกรมธรรม์ประกันบ้านปีละครั้งเพื่อเข้าใจขอบเขตความคุ้มครอง และจดวันหมดอายุ,Read through the home insurance policy at least once a year to understand coverage and note the expiration/renewal date,['recJXD3NfRNPjwQhr']
recQiJF9rCFpy8kw9,2025-06-12T03:45:37.000Z,ตรวจระบบระบายน้ำฐานราก,Check Foundation Drainage,ตรวจท่อระบายน้ำและความลาดเอียงรอบบ้านว่าระบายน้ำจากตัวบ้านได้ดีหรือไม่,"Check that gutters, downspouts, and grading around the house direct water away from the foundation effectively",['recv5bGQjR6nxlngS']
recU8ku3xd7w3iY19,2025-06-12T03:45:37.000Z,มองหารอยปลวกในงานไม้,Look for Termite Signs in Woodwork,ตรวจวงกบและประตูไม้ว่ามีผงไม้หรือร่องรอยปลวกเจาะทำลายหรือไม่,Examine wooden frames and doors for any wood dust or channels indicating termite activity,
recUoxGtZtmli5nUp,2025-06-12T03:45:37.000Z,ตัดหญ้าและกำจัดวัชพืชประจำ,Mow Lawn & Weed Regularly,ตรวจสอบความยาวหญ้าในสนาม หากยาวเกิน ~5 ซม. ควรตัด และถอนวัชพืชที่ขึ้นแซม,"Check the lawn grass height - if it's over ~5 cm, plan to mow it, and pull out any weeds that have sprung up",['recVy7GXi9WRTUJXO']
recVdWfcJQK8U55yD,2025-06-12T03:45:37.000Z,สำรวจรอยร้าวเป็นระยะ,Monitor Cracks Periodically,ตรวจสอบรอยแตกร้าวบนผนัง พื้น หรือเพดานทุกๆ 1-2 เดือนว่าขยายหรือไม่,"Check cracks on walls, floors, or ceiling every couple of months to see if they're growing","['recH02h0y1IQhBnYl', 'recVOJOQnB8qIgviw', 'rec5cItMuQaEmoEIa']"
recW5ysvdcDWZ2OVM,2025-06-12T03:45:37.000Z,ทำสำเนา/สแกนเอกสารสำคัญ,Copy/Scan Important Documents,เช็คว่ามีการถ่ายสำเนาเอกสารสำคัญไว้ (หรือสแกนลงคอม/คลาวด์) เพื่อสำรองข้อมูลหรือไม่,Confirm that important documents have been photocopied or scanned (to a computer/cloud) as backups,['recWAIeqPhaFLElGs']
recYq5cLb3kV2RDuI,2025-06-12T03:45:37.000Z,ตรวจท่อน้ำทิ้งแอร์,Inspect AC Drain Line,ดูว่าท่อระบายน้ำทิ้งของเครื่องปรับอากาศไม่อุดตันและน้ำระบายได้ดี,Ensure the air conditioner's condensate drain line is not clogged and water can flow out freely,['recaogGD3QlzOjxNG']
recZ9OKwyq1eyVOk2,2025-06-12T03:45:37.000Z,ดูสายไฟและของใช้ถูกแทะ,Look for Chewed Cables/Items,สำรวจสายไฟ รองเท้า หรือเฟอร์นิเจอร์ว่ามีรอยกัดแทะจากสัตว์เลี้ยงหรือไม่,"Examine electrical cords, shoes, or furniture for bite marks indicating pet chewing",['recFXHzQglXNIwyQ7']
recZIKEaprWCFEFD6,2025-06-12T03:45:37.000Z,ปัดฝุ่นบนเฟอร์นิเจอร์,Dust Furniture & Surfaces,ตรวจดูชั้นวางของ หลังตู้ บนกรอบหน้าต่าง ว่ามีฝุ่นเกาะหรือไม่ และปัดออกเป็นประจำ,"Check shelves, behind cabinets, and window frames for dust accumulation and dust them regularly",['recBCVrfACimQ8WIT']
recZtOwwma55X5HR6,2025-06-12T03:45:37.000Z,ตรวจจุดล็อกทุกจุด,Inspect All Locks,ตรวจสอบกลอนไฟฟ้า/แม่เหล็กและกลอนประตู-หน้าต่างทุกบานว่าล็อกทำงานปกติ และประตูหน้าต่างปิดสนิท,Check that all electronic/magnetic locks and mechanical door/window locks engage properly and doors/windows close tightly,['recao0Hufx3dgiBDN']
reca7pS24nALaPT5t,2025-06-12T03:45:37.000Z,ล้างหรือเปลี่ยนฟิลเตอร์แอร์,Clean/Replace AC Filter Regularly,ตรวจสอบและทำความสะอาดแผ่นกรองอากาศของเครื่องปรับอากาศทุก 3-6 เดือน,"Check and clean the air conditioner's filter every 3-6 months, replacing it if necessary","['recWDseEPuNsnVuqA', 'recT3vKKrvx7pcWac']"
recaSs9Bp6gHcePkf,2025-06-12T03:45:37.000Z,รวบรวมขยะอันตรายไว้ต่างหาก,Collect Hazardous Waste Separately,ตรวจสอบว่าของเสียอันตราย (แบตเตอรี่ หลอดไฟ สารเคมี) ถูกเก็บรวบรวมไว้ในภาชนะเฉพาะไม่ปนกับขยะอื่น,"Confirm that hazardous items (batteries, light bulbs, chemicals) are stored in a dedicated container and not mixed with other trash",['recH392WIr5AXVBUe']
recbybxdpQ9ZqPVNz,2025-06-12T03:45:37.000Z,สำรวจความเสียหายหลังพายุ,Survey Roof After Storms,หลังมีลมแรงหรือพายุ ลูกเห็บ ให้ตรวจสอบหลังคาและรางน้ำว่ามีความเสียหายหรือสิ่งอุดตันหรือไม่,"After strong winds or storms, check the roof and gutters for any damage or blockages like debris","['recVYKvvxXqkzKRJ3', 'rect7uqNcq3efZ4lj', 'reciVHX8OWS1IxLeh']"
recc3TomJSbvKXzjp,2025-06-12T03:45:37.000Z,ตรวจโหลดการใช้ไฟต่อวงจร,Check Circuit Load Usage,ดูว่ามีเครื่องใช้ไฟฟ้ามากเกินไปต่ออยู่ในวงจรเดียว (ซึ่งอาจทำให้เบรกเกอร์ตัด),Verify that too many high-power appliances aren't on the same circuit (which could cause breaker trips),"['recKnKDWPpAxDpYke', 'recfEeF3Oc1Alph1C']"
reccEJbwoL9y6X2QC,2025-06-12T03:45:37.000Z,ล้างถังขยะเป็นประจำ,Wash Bins Regularly,ดูว่าถังขยะถูกล้างด้วยน้ำและน้ำยาฆ่าเชื้ออย่างน้อยสัปดาห์ละครั้งหรือไม่ เพื่อลดกลิ่น,Check if trash bins are being washed out with water and disinfectant at least weekly to reduce odor,['rec0Rp87rtsWA9AZf']
recebVIiEGzCcvQ0m,2025-06-12T03:45:37.000Z,สังเกตน้ำขังหลังฝน,Observe Yard After Rain,หลังฝนตก ตรวจสอบสนามและสวนว่ามีน้ำขังเป็นแอ่งที่ไม่ยุบหายไปภายใน 1-2 วันหรือไม่,"After rain, check the yard for puddles that remain for more than a day or two without draining away",['recpLW8eqiBurotNf']
recf2Zv73ajNNimYW,2025-06-12T03:45:37.000Z,ทำความสะอาดรางน้ำฝนประจำ,Clean Gutters Regularly,กำจัดใบไม้และเศษขยะจากรางน้ำฝนและท่อน้ำลงอย่างน้อยปีละสองครั้ง (ก่อน-หลังฤดูฝน),Remove leaves and debris from gutters and downspouts at least twice a year (pre and post rainy season),"['recZhVqg8FD5KLjMx', 'recxbiqdQp8VcjZOL']"
recgNWGAxTdqWOhbZ,2025-06-12T03:45:37.000Z,ตรวจมุมห้องครัวมีมด,Check Kitchen Corners for Ants,ดูตามมุมพื้น เคาน์เตอร์ ครัว หากเห็นมดเดินเป็นทาง ให้ตามรอยไปยังแหล่งและทำความสะอาด,"Check along floor corners and countertops in the kitchen; if you see ant trails, follow them to the source and clean up any food residue there","['recwsonYZMeRi75Dm', 'recUPXHvx6i6Ve7Kk']"
recgbBqckEBzSdNLT,2025-06-12T03:45:37.000Z,เดินเช็กสัญญาณ Wi-Fi,Walk and Check Wi-Fi Signal,เดินไปรอบๆ บ้านพร้อมดูความแรงสัญญาณ Wi-Fi บนมือถือเพื่อตรวจหาจุดอับสัญญาณ,Walk through different parts of the house and observe the Wi-Fi signal strength on a phone to identify any dead zones,['recle5VxWpgPH0w7o']
recggrg82iFS5tW7v,2025-06-12T03:45:37.000Z,ตรวจข้อต่อและความลาดเอียงรางน้ำ,Check Gutter Joints & Slope,ตรวจดูว่ารางน้ำฝนมีความลาดเอียงที่ถูกต้อง น้ำไหลลงท่อลงได้ และข้อต่อไม่รั่วหรือหย่อน,Ensure gutters are properly sloped so water flows to downspouts and that joints are not leaking or sagging,"['recZhVqg8FD5KLjMx', 'recaE1lpTFM3qcAzd', 'recxbiqdQp8VcjZOL']"
recgmc52GtohYygsF,2025-06-12T03:45:37.000Z,ตรวจความสะอาดของผ้าม่าน/พรม,Check Cleanliness of Fabrics,ดูผ้าม่าน ปลอกหมอน และพรมว่ามีฝุ่นหรือคราบหรือไม่ ถ้ามีควรถอดซักหรือทำความสะอาด,"Inspect curtains, cushion covers, and rugs for dust or stains; if found, they should be washed or cleaned",['rec8Yg6hb6CDPQUfc']
reci0cBLwUDDidLci,2025-06-12T03:45:37.000Z,ทดสอบแรงดันน้ำหลายก็อก,Test Water Pressure at Multiple Taps,เปิดก็อกน้ำหลายจุดพร้อมกันเพื่อดูว่าแรงดันน้ำยังสม่ำเสมอหรือดรอปลงมากหรือไม่,Turn on multiple faucets simultaneously to see if water pressure remains steady or drops significantly,['recVes6NAdwGS9CZU']
reci5Kfgf8wswfJ1g,2025-06-12T03:45:37.000Z,มองหารอยด่างบนผนัง,Look for Wall Stains,สังเกตผนังและฝ้าเพดานในบ้านว่ามีคราบน้ำ คราบเหลือง หรือรอยสกปรกที่ต้องทำความสะอาดหรือทาสีทับหรือไม่,Observe interior walls and ceilings for any yellow water stains or dirt marks that might need cleaning or repainting,"['rec41KAyDUAF6qEa9', 'recwrMRo4ua9Q0EbV']"
reciXxROpIkvXTKEP,2025-06-12T03:45:37.000Z,เช็กตู้โหลด/เบรกเกอร์ว่าปกติ,Check Electrical Panel for Issues,เปิดดูตู้โหลดไฟ/เบรกเกอร์ว่ามีเบรกเกอร์ทริปหรือรอยความร้อนผิดปกติหรือไม่,Examine the electrical panel for any tripped breakers or signs of overheating,"['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50', 'recvq15EA1MRfi2BJ', 'recfEeF3Oc1Alph1C']"
recjGakW8Vblzg8We,2025-06-12T03:45:37.000Z,ทดลองไฟในห้อง,Test Room Lighting,เปิดไฟทุกดวงในห้องช่วงกลางคืนเพื่อดูว่าความสว่างเพียงพอและสร้างบรรยากาศตามต้องการหรือไม่,Turn on all lights in the room at night to ensure the brightness is sufficient and the ambiance is as desired,['recXKOreyzZJKaGpR']
