id_problem,id_service
ผนังมีรอยแตกลายงา,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
ผนังมีรอยแตกลายงา,บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,บริการทาสี_beger
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,บริการติดตั้งระบบกันน้ำรั่วซึมสำหรับดาดฟ้า_โดย_magix
ผนังมีคราบเชื้อราหรือตะไคร่น้ำ,บริการทาสีดาดฟ้ากันซึม
ประตูหน้าต่างติดขัด_(โครงสร้างยุบ),บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย_cvt
ประตูหน้าต่างติดขัด_(โครงสร้างยุบ),บริการติดตั้งประตูหน้าต่างอลูมิเนียม
ประตูหน้าต่างติดขัด_(โครงสร้างยุบ),ประตู_หน้าต่าง_วินด์เซอร์_สั่งตัดพิเศษ
ประตูหน้าต่างติดขัด_(โครงสร้างยุบ),แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
ท่อน้ำรั่ว/แตก,แก้ไขท่อน้ำอุดตัน
ท่อน้ำรั่ว/แตก,บริการติดตั้งปรับปรุงห้องน้ำ
แมลงสาบในครัว,กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน
แมลงสาบในครัว,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
ผ้าม่านหมอง/มีคราบ,บริการทำความสะอาดและฆ่าเชื้อโรคผ้าม่าน
ผ้าม่านหมอง/มีคราบ,บริการติดตั้งผ้าม่าน_มู่ลี่_ฉากกั้นห้อง_และวอลเปเปอร์_icurtain
ผ้าม่านหมอง/มีคราบ,บริการตัดเย็บและติดตั้ง_ผ้าม่าน_ม่านม้วน_มู่ลี่ไม้_วอลล์เปเปอร์_vichitr
ใช้งบซ่อมบ้านเกินกำหนด,บริการสถาปนิก_และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
ใช้งบซ่อมบ้านเกินกำหนด,บริการออกแบบบ้าน
ฝุ่นสะสมในบ้าน,บริการทำความสะอาดคอนโด_(general_cleaning)
ฝุ่นสะสมในบ้าน,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
ฝุ่นสะสมในบ้าน,เครื่องเติมอากาศดี_scg_active_air_quality
ฝุ่นสะสมในบ้าน,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
ฝุ่นสะสมในบ้าน,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
กลิ่นไม่พึงประสงค์,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
กลิ่นไม่พึงประสงค์,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
กลิ่นไม่พึงประสงค์,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
กลิ่นไม่พึงประสงค์,เครื่องเติมอากาศดี_scg_active_air_quality
กลิ่นไม่พึงประสงค์,ระบบไอออนกำจัดเชื้อโรคในอากาศ_และดักจับฝุ่น_pm2.5_scg_bi-ion
กลิ่นไม่พึงประสงค์,บริการทำความสะอาดคอนโด_(general_cleaning)
กลิ่นไม่พึงประสงค์,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
กลิ่นไม่พึงประสงค์,ทำความสะอาดห้องน้ำ
กลิ่นไม่พึงประสงค์,บริการล้างบ่อดักไขมัน
โถสุขภัณฑ์อุดตัน/กดไม่ลง,แก้ไขท่อน้ำอุดตัน
โถสุขภัณฑ์อุดตัน/กดไม่ลง,ติดตั้งสุขภัณฑ์ธรรมดา
โถสุขภัณฑ์อุดตัน/กดไม่ลง,ติดตั้งสุขภัณฑ์อัตโนมัติ
โถสุขภัณฑ์อุดตัน/กดไม่ลง,บริการติดตั้งปรับปรุงห้องน้ำ
เสียงดังผิดปกติจากระบบ,บริการซ่อมแอร์
เสียงดังผิดปกติจากระบบ,บริการซ่อมไฟฟ้าภายในบ้าน
ผนังหรือพื้นแตกร้าว,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
ผนังหรือพื้นแตกร้าว,บริการทาสี_beger
ผนังหรือพื้นแตกร้าว,บริการทำพื้นคอนกรีต_เท_ปาด_ขัด
ผนังหรือพื้นแตกร้าว,บริการปูกระเบื้อง_จากสินค้าแบรนด์จระเข้
ผนังหรือพื้นแตกร้าว,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
ผนังหรือพื้นแตกร้าว,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
ผนังหรือพื้นแตกร้าว,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
ผนังหรือพื้นแตกร้าว,แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
หนูในฝ้า/ผนัง,กำจัดและป้องกันหนู
ไม่ทราบราคาค่าวัสดุ/ช่าง,บริการสถาปนิก_และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
การระบายอากาศไม่เพียงพอ,ระบบระบายอากาศ_active_airflow_system
การระบายอากาศไม่เพียงพอ,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
การระบายอากาศไม่เพียงพอ,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
การระบายอากาศไม่เพียงพอ,เครื่องเติมอากาศดี_scg_active_air_quality
การระบายอากาศไม่เพียงพอ,บริการติดตั้งชุดกระเบื้องและปล่องระบายอากาศ_scg_สำหรับระบายอากาศร้อนในโถงหลังคา
ไฟเซ็นเซอร์ไม่ติด,บริการซ่อมไฟฟ้าภายในบ้าน
ไฟเซ็นเซอร์ไม่ติด,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
ไฟตก/ไฟเกิน,บริการซ่อมไฟฟ้าภายในบ้าน
นกหรือสัตว์รบกวนอื่นๆ,บริการติดตั้งอุปกรณ์ป้องกันนกพิราบ_by_q-chang
เชื้อราในห้องน้ำ,ทำความสะอาดห้องน้ำ
เชื้อราในห้องน้ำ,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
เฟอร์นิเจอร์ชำรุด/เก่า,ezybuilt_บริการออกแบบและติดตั้ง_furniture_fit-in
เฟอร์นิเจอร์ชำรุด/เก่า,ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร
เลือกช่างไม่ได้คุณภาพ_(เปลืองเงิน),บริการสถาปนิก_และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน
ขนสัตว์เลี้ยงหลุดร่วงมาก,บริการทำความสะอาดและฆ่าเชื้อโรคพรม
ขนสัตว์เลี้ยงหลุดร่วงมาก,บริการทำความสะอาดและฆ่าเชื้อโรคโซฟา
ขนสัตว์เลี้ยงหลุดร่วงมาก,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
ดินรอบบ้านทรุดเป็นโพรง,บริการปิดโพรงรอบบ้านด้วยแผ่น_smartboard
ดินรอบบ้านทรุดเป็นโพรง,ปิดโพรงรอบบ้าน
สายไฟชำรุด,บริการซ่อมไฟฟ้าภายในบ้าน
คราบสกปรกบนผนัง/ฝ้า,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
คราบสกปรกบนผนัง/ฝ้า,บริการทำความสะอาดคอนโด_(general_cleaning)
คราบสกปรกบนผนัง/ฝ้า,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
คราบสกปรกบนผนัง/ฝ้า,บริการทาสี_beger
คราบสกปรกบนผนัง/ฝ้า,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
คราบสกปรกบนผนัง/ฝ้า,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
คราบสกปรกบนผนัง/ฝ้า,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
คราบสกปรกบนผนัง/ฝ้า,บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass
ปั๊มน้ำทำงานผิดปกติ,บริการเปลี่ยนปั๊มน้ำ
มีกลิ่นอับจากระบบแอร์,บริการล้างแอร์แบบติดผนัง
มีกลิ่นอับจากระบบแอร์,บริการล้างเครื่องปรับอากาศ_แบบแอร์เปลือย/แอร์ฝังซ่อน
มีกลิ่นอับจากระบบแอร์,ล้างแอร์_พร้อมอบโอโซน
มีกลิ่นอับจากระบบแอร์,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
มีกลิ่นอับจากระบบแอร์,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
มีกลิ่นอับจากระบบแอร์,เครื่องเติมอากาศดี_scg_active_air_quality
กิ่งไม้หัก/ต้นไม้เอียง,บริการติดตั้งชุดโครงเหล็กค้ำยันต้นไม้พร้อมเสาเข็มเหล็ก
พื้นทรุดตัว,บริการปิดโพรงรอบบ้านด้วยแผ่น_smartboard
พื้นทรุดตัว,ปิดโพรงรอบบ้าน
พื้นทรุดตัว,แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
หลังคารั่วซึม,บริการซ่อมรั่วหลังคาเฉพาะจุด_(roof_repair)​
หลังคารั่วซึม,บริการซ่อมรั่วหลังคาทาวน์เฮาส์_ทาวน์โฮม_(top_up_roof)​
หลังคารั่วซึม,บริการตรวจสอบปัญหาซ่อมรั่วหลังคาและซ่อมฝ้าเพดาน
หลังคารั่วซึม,บริการตรวจสอบและซ่อมรั่วหลังคา_ทุกประเภทหลังคา
หลังคารั่วซึม,บริการรื้อ_–_เปลี่ยนหลังคาเก่าทั้งผืน_(re-roof)​
หลังคารั่วซึม,บริการติดตั้งหลังคาเมทัลชีทบนหลังคาลอนคู่เดิม_(double_roof)
หลังคารั่วซึม,หลังคา_scg_พร้อมบริการติดตั้งเหมาเบ็ดเสร็จ
หลังคารั่วซึม,บริการติดตั้งเฉพาะโครงหลังคาหรือกระเบื้องหลังคาบ้านใหม่
ของตกแต่งจัดวางไม่ดี,ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร
น้ำไม่ไหล/แรงดันต่ำ,บริการเปลี่ยนปั๊มน้ำ
น้ำไม่ไหล/แรงดันต่ำ,บริการเปลี่ยนแท็งค์น้ำ
น้ำไม่ไหล/แรงดันต่ำ,บริการติดตั้งแท็งค์น้ำ_ระบบในตัว_(water-pac)
สีซีดจาง/หม่นหมอง,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
สีซีดจาง/หม่นหมอง,บริการทาสี_beger
สีซีดจาง/หม่นหมอง,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
สีซีดจาง/หม่นหมอง,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
สีซีดจาง/หม่นหมอง,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
สีซีดจาง/หม่นหมอง,บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass
สนามหญ้ารก,บริการติดตั้งออกแบบจัดสวนและปรับภูมิทัศน์
สนามหญ้ารก,บริการออกแบบ_จัดสวน_ปรับภูมิทัศน์
สนามหญ้ารก,หญ้าเทียมพร้อมบริการติดตั้ง
แอร์ไม่เย็น,บริการซ่อมแอร์
แอร์ไม่เย็น,บริการล้างแอร์แบบติดผนัง
แอร์ไม่เย็น,บริการล้างเครื่องปรับอากาศ_แบบแอร์เปลือย/แอร์ฝังซ่อน
แอร์ไม่เย็น,ล้างแอร์_พร้อมอบโอโซน
โครงสร้างเหล็กเป็นสนิม,แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
ดินเสื่อมคุณภาพ,บริการติดตั้งออกแบบจัดสวนและปรับภูมิทัศน์
ดินเสื่อมคุณภาพ,บริการออกแบบ_จัดสวน_ปรับภูมิทัศน์
รางน้ำฝนรั่ว/หลุด,บริการติดตั้งรางน้ำฝนไวนิล_เอสซีจี_homesmile
รางน้ำฝนรั่ว/หลุด,บริการติดตั้งรางน้ำฝนไวนิล_scg_รุ่น_smart_by_q-chang
รางน้ำฝนรั่ว/หลุด,บริการติดตั้งรางน้ำฝนไวนิล_scg
รางน้ำฝนรั่ว/หลุด,บริการติดตั้งรางน้ำฝนไวนิล_scg_รุ่น_deluxe_by_q-chang
รางน้ำฝนรั่ว/หลุด,"บริการติดตั้งรางน้ำฝน_pvc_by_q-chang
"
กลอนไฟฟ้าดิจิทัลขัดข้อง,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
แอร์น้ำหยด,บริการซ่อมแอร์
แอร์น้ำหยด,บริการล้างแอร์แบบติดผนัง
แอร์น้ำหยด,บริการล้างเครื่องปรับอากาศ_แบบแอร์เปลือย/แอร์ฝังซ่อน
แอร์น้ำหยด,ล้างแอร์_พร้อมอบโอโซน
พัดลม/ระบบระบายอากาศเสีย,ระบบระบายอากาศ_active_airflow_system
พัดลม/ระบบระบายอากาศเสีย,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
พัดลม/ระบบระบายอากาศเสีย,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
พัดลม/ระบบระบายอากาศเสีย,เครื่องเติมอากาศดี_scg_active_air_quality
พัดลม/ระบบระบายอากาศเสีย,บริการติดตั้งชุดกระเบื้องและปล่องระบายอากาศ_scg_สำหรับระบายอากาศร้อนในโถงหลังคา
หน้าต่างปิดไม่สนิท,บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย_cvt
หน้าต่างปิดไม่สนิท,บริการติดตั้งประตูหน้าต่างอลูมิเนียม
หน้าต่างปิดไม่สนิท,ประตู_หน้าต่าง_วินด์เซอร์_สั่งตัดพิเศษ
ฟิวส์ขาด/เบรกเกอร์ทริป,บริการซ่อมไฟฟ้าภายในบ้าน
ของเก่าชิ้นใหญ่กีดขวาง,บริการขนย้าย_goodmove
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการทาสี_beger
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
ผนัง/วอลเปเปอร์เปื้อนหรือซีด,บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass
บานพับหลวมหรือมีเสียงดัง,บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย_cvt
บานพับหลวมหรือมีเสียงดัง,บริการติดตั้งประตูหน้าต่างอลูมิเนียม
บานพับหลวมหรือมีเสียงดัง,ประตู_หน้าต่าง_วินด์เซอร์_สั่งตัดพิเศษ
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการซ่อมรั่วหลังคาเฉพาะจุด_(roof_repair)​
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการซ่อมรั่วหลังคาทาวน์เฮาส์_ทาวน์โฮม_(top_up_roof)​
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการตรวจสอบปัญหาซ่อมรั่วหลังคาและซ่อมฝ้าเพดาน
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการตรวจสอบและซ่อมรั่วหลังคา_ทุกประเภทหลังคา
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการรื้อ_–_เปลี่ยนหลังคาเก่าทั้งผืน_(re-roof)​
ครอบสัน/รอยต่อหลังคาเสียหาย,บริการติดตั้งเฉพาะโครงหลังคาหรือกระเบื้องหลังคาบ้านใหม่
มุ้งลวดฉีกขาด,บริการติดตั้งมุ้งลวด_มุ้งจีบ_และมุ้งกันจิ้งจก_cooncho
มุ้งลวดฉีกขาด,บริการติดตั้งมุ้งลวดนิรภัยสแตนเลส_cvt
มุ้งลวดฉีกขาด,บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย_cvt
สารเคลือบผิวไม้หลุดลอก,ezybuilt_บริการออกแบบและติดตั้ง_furniture_fit-in
สารเคลือบผิวไม้หลุดลอก,ออกแบบตกแต่งภายใน_บิ้วอิน_พร้อมติดตั้ง_ครบวงจร
สารเคลือบผิวไม้หลุดลอก,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
สัญญาณกันขโมยเตือนผิดพลาด,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
สีผนังลอกล่อน,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
สีผนังลอกล่อน,บริการทาสี_beger
สีผนังลอกล่อน,บริการติดตั้งชุดตกแต่งผนัง_(the_wall)_สำหรับภายใน
สีผนังลอกล่อน,บริการติดตั้งผนังตกแต่ง_ไฟเบอร์ซิเมนต์_scg_รุ่น_โมดิน่า_wall_décor
สีผนังลอกล่อน,บริการติดตั้งผนังตกแต่ง_kmew_รุ่น_excellage_สำหรับภายนอก
สีผนังลอกล่อน,บริการติดตั้งวอลเปเปอร์_และ_interior_film_meclass
ระบบรดน้ำชำรุด,บริการติดตั้งออกแบบจัดสวนและปรับภูมิทัศน์
ระบบรดน้ำชำรุด,บริการออกแบบ_จัดสวน_ปรับภูมิทัศน์
ปลวกขึ้นบ้าน,กำจัดและป้องกันปลวกด้วยระบบการวางเหยื่อ
ปลวกขึ้นบ้าน,กำจัดและป้องกันปลวกด้วยระบบการวางท่อและอัดเคมี
กล้องวงจรปิดภาพขัดข้อง,บริการติดตั้งกล้องวงจรปิด
ข้อต่อท่อ/ซีลรั่ว,แก้ไขท่อน้ำอุดตัน
ข้อต่อท่อ/ซีลรั่ว,บริการติดตั้งปรับปรุงห้องน้ำ
แบตเตอรี่เซ็นเซอร์หมด,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
น้ำขังในสนาม,แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
ประตู/หน้าต่างไม้บวม,บริการติดตั้งประตูหน้าต่างอลูมิเนียมและมุ้งลวดนิรภัย_cvt
ประตู/หน้าต่างไม้บวม,บริการติดตั้งประตูหน้าต่างอลูมิเนียม
ประตู/หน้าต่างไม้บวม,ประตู_หน้าต่าง_วินด์เซอร์_สั่งตัดพิเศษ
ระบบเตือนภัยไม่ทำงาน,บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ
คราบสกปรกในห้องน้ำ/ครัว,ทำความสะอาดห้องน้ำ
คราบสกปรกในห้องน้ำ/ครัว,บริการทำความสะอาดคอนโด_(general_cleaning)
คราบสกปรกในห้องน้ำ/ครัว,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
กระเบื้องหลังคาแตกร้าว/หลุด,บริการซ่อมรั่วหลังคาเฉพาะจุด_(roof_repair)​
กระเบื้องหลังคาแตกร้าว/หลุด,บริการซ่อมรั่วหลังคาทาวน์เฮาส์_ทาวน์โฮม_(top_up_roof)​
กระเบื้องหลังคาแตกร้าว/หลุด,บริการตรวจสอบปัญหาซ่อมรั่วหลังคาและซ่อมฝ้าเพดาน
กระเบื้องหลังคาแตกร้าว/หลุด,บริการตรวจสอบและซ่อมรั่วหลังคา_ทุกประเภทหลังคา
กระเบื้องหลังคาแตกร้าว/หลุด,บริการรื้อ_–_เปลี่ยนหลังคาเก่าทั้งผืน_(re-roof)​
กระเบื้องหลังคาแตกร้าว/หลุด,บริการติดตั้งเฉพาะโครงหลังคาหรือกระเบื้องหลังคาบ้านใหม่
น้ำซึมเข้าฐานราก,แพ็คเกจบริการรวมสำรวจ_ปรับปรุง_ต่อเติม_พื้นที่รอบบ้านครบวงจร_homesmile
น้ำซึมเข้าฐานราก,บริการปิดโพรงรอบบ้านด้วยแผ่น_smartboard
น้ำซึมเข้าฐานราก,ปิดโพรงรอบบ้าน
ไฟดับบ่อย,บริการซ่อมไฟฟ้าภายในบ้าน
สัตว์เลี้ยงขับถ่ายในบ้าน,บริการทำความสะอาดและฆ่าเชื้อโรคพรม
สัตว์เลี้ยงขับถ่ายในบ้าน,บริการทำความสะอาดและฆ่าเชื้อโรคโซฟา
สัตว์เลี้ยงขับถ่ายในบ้าน,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
สัตว์เลี้ยงขับถ่ายในบ้าน,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
สีโป่งพองเป็นฟอง,บริการทาสีผนังภายใน-ภายนอกด้วยสี_beger
สีโป่งพองเป็นฟอง,บริการทาสี_beger
สีโป่งพองเป็นฟอง,บริการติดตั้งระบบกันน้ำรั่วซึมสำหรับดาดฟ้า_โดย_magix
สีโป่งพองเป็นฟอง,บริการทาสีดาดฟ้ากันซึม
แมลงอย่างมด/แมลงสาบเข้ามา,กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน
แมลงอย่างมด/แมลงสาบเข้ามา,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
ไฟฟ้าลัดวงจร/ไฟช็อต,บริการซ่อมไฟฟ้าภายในบ้าน
เต้ารับหรือสวิตช์หลวม/เสีย,บริการซ่อมไฟฟ้าภายในบ้าน
เต้ารับหรือสวิตช์หลวม/เสีย,ติดตั้งสวิทซ์ไฟฟ้าพร้อมอุปกรณ์
เต้ารับหรือสวิตช์หลวม/เสีย,ติดตั้งปลั๊กไฟฟ้าพร้อมอุปกรณ์
น้ำล้นรางน้ำฝน,บริการติดตั้งรางน้ำฝนไวนิล_เอสซีจี_homesmile
น้ำล้นรางน้ำฝน,บริการติดตั้งรางน้ำฝนไวนิล_scg_รุ่น_smart_by_q-chang
น้ำล้นรางน้ำฝน,บริการติดตั้งรางน้ำฝนไวนิล_scg
น้ำล้นรางน้ำฝน,บริการติดตั้งรางน้ำฝนไวนิล_scg_รุ่น_deluxe_by_q-chang
น้ำล้นรางน้ำฝน,"บริการติดตั้งรางน้ำฝน_pvc_by_q-chang
"
สัตว์เลี้ยงหลุดออกนอกบ้าน,บริการติดตั้งประตูรั้วอลูมิเนียม_hausen
สัตว์เลี้ยงหลุดออกนอกบ้าน,บริการติดตั้งมอเตอร์ประตูรั้วรีโมทอัตโนมัติ_homexpert
สัตว์เลี้ยงหลุดออกนอกบ้าน,บริการติดตั้งรั้ว_ระแนงบังตาไวนิล_รุ่น_value_set_และ_box_set
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,บริการทำความสะอาดและฆ่าเชื้อโรคพรม
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,บริการทำความสะอาดและฆ่าเชื้อโรคโซฟา
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,บริการทำความสะอาดบ้านและคอนโด_(deep_cleaning)
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,บริการพ่นควันฆ่าเชื้อโรค_ด้วยระบบ_fogging
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,ติดตั้งระบบเครื่องเติมอากาศ_แรงดันบวก_พร้อมกำจัดกลิ่น_airwave+
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,ติดตั้งระบบเติมอากาศให้บ้าน_เครื่องเติมอากาศ_freshnergy
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,เครื่องเติมอากาศดี_scg_active_air_quality
กลิ่นสัตว์เลี้ยง/บริเวณขับถ่าย,ระบบไอออนกำจัดเชื้อโรคในอากาศ_และดักจับฝุ่น_pm2.5_scg_bi-ion
