id,createdTime,name_th,name_en,description_th,description_en,item,check,fix,service,name_th (from item),name_th (from check),name_th (from fix),name_th (from service)
rec6xAp5iLGJdsEgu,2025-06-12T02:36:50.000Z,แมลงสาบในครัว,Cockroaches in Kitchen,เห็นแมลงสาบหรือมูลแมลงสาบตามครัวหรือจุดที่มีเศษอาหาร,Cockroaches or their droppings are observed in the kitchen or areas with food scraps,['recYjjXihzcV2bTfD'],['reck6iBYmskZn0atS'],['recVZCekylDdlHivk'],"['recB27Jid4BnaxXtE', 'recsX9eXEUe2Gkl9b']",['สเปรย์ยาฆ่าแมลง'],['วางกับดัก/สังเกตแมลงสาบ'],['ฉีดสเปรย์แมลงสาบตอนกลางคืน'],"['กำจัดและป้องกันแมลงสาบสายพันธุ์เยอรมัน', 'บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging']"
rec8Yg6hb6CDPQUfc,2025-06-12T02:36:50.000Z,ผ้าม่านหมอง/มีคราบ,Dull or Stained Curtains,ผ้าม่านสีหมองลงหรือมีคราบสกปรกจากฝุ่นและอายุการใช้งาน,Curtains have become dull in color or have dirt stains from dust and age,"['recauiNeP38WC8PNt', 'reclFfpvp7MXCbLjG']",['recgmc52GtohYygsF'],,"['recpc6NvlwzosVpk4', 'recsbhMCWAHSXColJ', 'recR6PzhMy0wmsbg2']","['ผ้าม่าน/มู่ลี่', 'น้ำยาและผ้าทำความสะอาด']",['ตรวจความสะอาดของผ้าม่าน/พรม'],,"['บริการทำความสะอาดและฆ่าเชื้อโรคผ้าม่าน', 'บริการติดตั้งผ้าม่าน มู่ลี่ ฉากกั้นห้อง และวอลเปเปอร์ iCurtain', 'บริการตัดเย็บและติดตั้ง ผ้าม่าน ม่านม้วน มู่ลี่ไม้ วอลล์เปเปอร์ VICHITR']"
rec9QehHoASk3FH7M,2025-06-12T02:36:50.000Z,ใช้งบซ่อมบ้านเกินกำหนด,Maintenance Budget Overrun,ค่าใช้จ่ายในการดูแลซ่อมแซมบ้านสูงเกินกว่างบประมาณที่วางแผนไว้,The cost of home maintenance and repairs is exceeding the planned budget,['reck5L4oCIRPzI5F6'],['recDBx6O0wFM52njH'],['recG19cwBYishDoeg'],"['recF3XcfsCAVikfLq', 'recNwyVORY86PatO0']",['แผนงบประมาณดูแลบ้าน'],['ทบทวนงบประมาณรายไตรมาส'],['ลดค่าใช้จ่ายฟุ่มเฟือย'],"['บริการสถาปนิก และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน', 'บริการออกแบบบ้าน']"
recALEtz5RdNvMgWe,2025-06-12T02:36:50.000Z,กลอนหรือลูกบิดเสีย,Broken Door Lock/Knob,กลอนประตูหรือลูกบิดประตูชำรุด หมุนหรือล็อกไม่ได้,"Door lock or knob is broken, can't turn or lock properly",['rec2Lzii8s2DTK7bQ'],['recK0lx8XilIFugIP'],,,['กลอน/ลูกบิดประตู'],['เช็กการปิดของประตูหน้าต่าง'],,
recAZyJBkIljH3C4E,2025-06-12T02:36:50.000Z,ศัตรูพืชทำลายสวน,Garden Pests (Insects/Disease),ต้นไม้หรือพืชในสวนถูกศัตรูพืช เช่น เพลี้ย หนอน หรือโรคพืชเล่นงาน ใบเหลืองเหี่ยว,"Plants in the garden are being damaged by pests like aphids, caterpillars, or plant diseases, causing yellowing or wilting","['recM5vN8Hg2Olho3l', 'recxTC3QoY2Z1ZN4S', 'rec0uCzIhPAq9vNud']",['rectbPeIbNsfYWFoG'],['rechQNohHsaBnsW7r'],,"['ต้นไม้ใหญ่', 'พุ่มไม้/แนวรั้วต้นไม้', 'ดินและปุ๋ย']",['ตรวจสุขภาพต้นไม้ใบไม้'],['ฉีดสเปรย์ยาฆ่าแมลงสวน'],
recBCVrfACimQ8WIT,2025-06-12T02:36:50.000Z,ฝุ่นสะสมในบ้าน,Accumulated Dust,ฝุ่นละอองสะสมตามพื้น เฟอร์นิเจอร์ และชั้นวางของภายในบ้าน,"Dust has built up on floors, furniture, and shelves around the house","['recyPNyH186PhRLAW', 'recRRMBzDOzcHqWvl', 'recF8IIWUAptzB499', 'reclFfpvp7MXCbLjG']",['recZIKEaprWCFEFD6'],,"['recvifp51AJLvrbEh', 'recaV8svBvuvG2Y3k', 'rec63Mru1fEyjsR88', 'recEN7WTxYeQ5Q1zb', 'recy4eIeUNC7rqI0x']","['ไม้กวาด', 'ไม้ถูพื้น', 'เครื่องดูดฝุ่น', 'น้ำยาและผ้าทำความสะอาด']",['ปัดฝุ่นบนเฟอร์นิเจอร์'],,"['บริการทำความสะอาดคอนโด (General Cleaning)', 'บริการทำความสะอาดบ้านและคอนโด (Deep Cleaning)', 'เครื่องเติมอากาศดี SCG Active AIR Quality', 'ติดตั้งระบบเติมอากาศให้บ้าน เครื่องเติมอากาศ FRESHNERGY', 'ติดตั้งระบบเครื่องเติมอากาศ แรงดันบวก พร้อมกำจัดกลิ่น AIRWAVE+']"
recBZMyWx5SNYNR43,2025-06-12T02:36:50.000Z,กลิ่นไม่พึงประสงค์,Unpleasant Odors,มีกลิ่นอับหรือกลิ่นเหม็นภายในบ้าน เช่น จากถังขยะหรือห้องน้ำ,"There are musty or bad smells in the house, e.g., from garbage bins or bathrooms",['reclFfpvp7MXCbLjG'],"['recxP2VNVq9qUHsYt', 'rectAKBnXZnouPi9B', 'reczkq0xez71Rl4ZK']","['recj3mUHJSVfpmkTH', 'recaOGNndeZOSF7tN', 'recbXqF5GLotk9Xmy']","['recsX9eXEUe2Gkl9b', 'recy4eIeUNC7rqI0x', 'recEN7WTxYeQ5Q1zb', 'rec63Mru1fEyjsR88', 'recEIzk19IR00EYAO', 'recvifp51AJLvrbEh', 'recaV8svBvuvG2Y3k', 'recruHFjS8DCSxmHv', 'rechstkPaZIpaWlul']",['น้ำยาและผ้าทำความสะอาด'],"['ทำความสะอาดพื้นทุกสัปดาห์', 'จัดการขยะทุกวัน', 'ตรวจมุมอับซ่อนสิ่งสกปรก']","['เปิดหน้าต่างระบายกลิ่น', 'ใช้เครื่องฟอกอากาศ', 'โรยเบกกิ้งโซดาดับกลิ่นพรม']","['บริการพ่นควันฆ่าเชื้อโรค ด้วยระบบ fogging', 'ติดตั้งระบบเครื่องเติมอากาศ แรงดันบวก พร้อมกำจัดกลิ่น AIRWAVE+', 'ติดตั้งระบบเติมอากาศให้บ้าน เครื่องเติมอากาศ FRESHNERGY', 'เครื่องเติมอากาศดี SCG Active AIR Quality', 'ระบบไอออนกำจัดเชื้อโรคในอากาศ และดักจับฝุ่น PM2.5 SCG Bi-ion', 'บริการทำความสะอาดคอนโด (General Cleaning)', 'บริการทำความสะอาดบ้านและคอนโด (Deep Cleaning)', 'ทำความสะอาดห้องน้ำ', 'บริการล้างบ่อดักไขมัน']"
recCcAEKfOSRbfB8g,2025-06-12T02:36:50.000Z,โถสุขภัณฑ์อุดตัน/กดไม่ลง,Clogged Toilet/Flush Failure,ชักโครกกดน้ำไม่ลงหรือน้ำเอ่อ เนื่องจากการอุดตัน,Toilet fails to flush or water overflows due to blockage,['rec3rTlFs4MB7IevL'],,['recVfZW8jLi9V2l2T'],"['recRymcaUzpQjn8gC', 'rec7xYQBnzQet4QZP', 'recj3LvT5XIeooExa', 'recuhYXVxP4v5No7j']",['โถสุขภัณฑ์'],,['ใช้ปั๊มยางแก้ส้วมตัน'],"['แก้ไขท่อน้ำอุดตัน', 'ติดตั้งสุขภัณฑ์ธรรมดา', 'ติดตั้งสุขภัณฑ์อัตโนมัติ', 'บริการติดตั้งปรับปรุงห้องน้ำ']"
recCw5FrTwc4SUu1L,2025-06-12T02:36:50.000Z,เสียงดังผิดปกติจากระบบ,Unusual Noise from System,มีเสียงดังผิดปกติจากคอมเพรสเซอร์แอร์หรือมอเตอร์พัดลม,Unusual loud noise coming from the AC compressor or ventilation fan motor,"['recDZlSkBf0Ypf8l3', 'reco0yunur1VHzO3o', 'recnfaeri99lvt14J']",['rec3PZ3SQnVk7KxJf'],['recNhzQx1GK0v8rpb'],"['recryMZEHATEJKWGf', 'recWgl42lEPM7sFCE']","['เครื่องปรับอากาศ', 'พัดลมระบายอากาศ', 'พัดลมเพดาน']",['เช็กการทำงานพัดลม/มอเตอร์'],['ขันสกรูพัดลมที่หลวม'],"['บริการซ่อมแอร์', 'บริการซ่อมไฟฟ้าภายในบ้าน']"
recFXHzQglXNIwyQ7,2025-06-12T02:36:50.000Z,สัตว์เลี้ยงกัดแทะสิ่งของ,Pets Chewing Objects,สัตว์เลี้ยง เช่น ลูกสุนัข แทะสายไฟ รองเท้า หรือข้าวของเครื่องใช้,"Pets (e.g., a puppy) chew on wires, shoes, or other household items causing damage",['reccjBMFSOL61D58X'],"['recrDXvHcTKI1ZcJI', 'recZ9OKwyq1eyVOk2']",['rec1dFLDFJM9sxxtF'],,['กรง/บ้านสัตว์เลี้ยง'],"['ตรวจรั้ว/กรงสัตว์เลี้ยง', 'ดูสายไฟและของใช้ถูกแทะ']",['สเปรย์ไล่สัตว์เลี้ยง'],
recH02h0y1IQhBnYl,2025-06-12T02:36:50.000Z,ผนังหรือพื้นแตกร้าว,Cracks in Wall/Floor,ปรากฏรอยแตกร้าวบนผนังหรือพื้นคอนกรีตของบ้าน,Visible cracks have formed on the walls or concrete floors of the house,"['recg6IRFv35K2qXUf', 'recHfN5rd01bkfPbW', 'reccPMS6d6Vd9RFxm', 'reckhl3fbypXCnJS1', 'recNvxAb4HUjQa9AA', 'recUq5hBrJKDYd2jP', 'recwDPvvK0CtABNdi', 'recDvAJ5InYqjXVOg']","['recVdWfcJQK8U55yD', 'rectFQ6qmHAO1yEUk']","['recymWCwwyE1ycAfh', 'rect0LPP5P1OAbAuQ']","['recEGpmFGDKENZ4aq', 'rec8ZJFwQcxBa5Zm2', 'recRs4GyrsQQaqZUv', 'recLFHhAsgP8NQL5H', 'recbq5zZb0zsdB2V1', 'rec5YeiVEJdXdsbJU', 'recFQY7h9cqFcRZDU', 'recG7K3b0S666HWbr']","['ฐานราก', 'เสาโครงสร้าง', 'คานโครงสร้าง', 'พื้นคอนกรีต', 'ผนังรับน้ำหนัก', 'เหล็กเสริมโครงสร้าง', 'ยาแนว/ซีลแลนท์', 'วัสดุอุดโป๊ว']","['สำรวจรอยร้าวเป็นระยะ', 'ตรวจเสา-คานที่มองเห็นได้']","['อุดรอยร้าวเล็กด้วยซีเมนต์/ยาแนว', 'ค้ำยันชั่วคราวจุดแตกร้าวหนัก']","['บริการทาสีผนังภายใน-ภายนอกด้วยสี Beger', 'บริการทาสี Beger', 'บริการทำพื้นคอนกรีต เท ปาด ขัด', 'บริการปูกระเบื้อง จากสินค้าแบรนด์จระเข้', 'บริการติดตั้งชุดตกแต่งผนัง (The wall) สำหรับภายใน', 'บริการติดตั้งผนังตกแต่ง ไฟเบอร์ซิเมนต์ SCG รุ่น โมดิน่า Wall décor', 'บริการติดตั้งผนังตกแต่ง KMEW รุ่น EXCELLAGE สำหรับภายนอก', 'แพ็คเกจบริการรวมสำรวจ ปรับปรุง ต่อเติม พื้นที่รอบบ้านครบวงจร HomeSmile']"
recH392WIr5AXVBUe,2025-06-12T02:36:50.000Z,ขยะอันตรายถูกทิ้งผิดวิธี,Improper Hazardous Waste Disposal,ทิ้งขยะอันตรายเช่น แบตเตอรี่ หลอดไฟ เคมี ปะปนกับขยะบ้านปกติ,"Hazardous waste like batteries, bulbs, chemicals are thrown out with regular household trash improperly",['recRWRuNqrGz331eG'],['recaSs9Bp6gHcePkf'],,,['ภาชนะขยะอันตราย'],['รวบรวมขยะอันตรายไว้ต่างหาก'],,
recI5OmeM7Heiuziu,2025-06-12T02:36:50.000Z,หนูในฝ้า/ผนัง,Rats in Attic/Walls,ได้ยินเสียงหรือพบร่องรอยหนู (มูลหนู/รอยกัด) บนฝ้าเพดานหรือในผนัง,Hearing noises or finding evidence of rats (droppings/gnaw marks) in the ceiling or walls,['reciAfNDKhKNO292Z'],['rec0Sjp2ae0IOG4Dy'],['rec9kPJwl9tPGWfnU'],['recfHV2E1qfkkQ6aM'],['กับดักหนู'],['ฟังเสียงหนูตอนกลางคืน'],['วางกาวดักหนู'],['กำจัดและป้องกันหนู']
recIa4qwwETdrEQ0S,2025-06-12T02:36:50.000Z,ไม่ทราบราคาค่าวัสดุ/ช่าง,Unaware of Material/Labor Costs,เจ้าของบ้านไม่ทราบข้อมูลราคาวัสดุก่อสร้างหรือค่าแรงช่างที่เป็นมาตรฐาน,Homeowner lacks knowledge of standard costs for materials or contractor labor rates,"['rec5C5XUE1zXiw8Ms', 'recCDzj1Yh4eWjydE']",['rec0ULUUl6URf6mR7'],"['recibOx8uwVo3Xp8H', 'recnXVgJcWZvvIhTx']",['recF3XcfsCAVikfLq'],"['ราคาวัสดุอ้างอิง', 'ใบเสนอราคางานซ่อม']",['เปรียบเทียบราคาก่อนซื้อ/จ้าง'],"['ทำเองบางงานแทนจ้าง', 'ต่อรองหรือขอส่วนลด']",['บริการสถาปนิก และวิศวกรให้คำปรึกษาเรื่องบ้านที่หน้างาน']
recIgz50bdOyXR6RP,2025-06-12T02:36:50.000Z,ไม่มีประวัติบำรุงรักษาบ้าน,No Maintenance Records,ไม่ได้เก็บบันทึกหรือใบเสร็จการซ่อมบำรุงใดๆ ของบ้าน ทำให้ไม่รู้ประวัติ,"No records or receipts of any home maintenance were kept, so there's no service history for the house",['recrz1D0aqkp6elSD'],['rec8vc6OhwpQp0sdR'],,,['ตารางบันทึกรายจ่าย'],['จัดแฟ้มบันทึกซ่อมบ้าน'],,
recJTwFpsDoC5GWhn,2025-06-12T02:36:50.000Z,การระบายอากาศไม่เพียงพอ,Insufficient Ventilation,ห้องอับไม่มีการถ่ายเทอากาศเพียงพอ รู้สึกอุดอู้,"Room is stuffy with not enough air circulation, causing discomfort","['reco0yunur1VHzO3o', 'recMHIfDjmuYU00OR']",['rec6AE7ik7yM3XeWp'],['reclfyVqnq4CMU1eQ'],"['recGeiWhFG4wK7L6d', 'recy4eIeUNC7rqI0x', 'recEN7WTxYeQ5Q1zb', 'rec63Mru1fEyjsR88', 'recOYjVlXs3D663uC']","['พัดลมระบายอากาศ', 'ท่อระบายอากาศ']",['ตรวจช่องระบายอากาศ'],['เปิดหน้าต่างระบายอากาศ'],"['ระบบระบายอากาศ Active Airflow System', 'ติดตั้งระบบเครื่องเติมอากาศ แรงดันบวก พร้อมกำจัดกลิ่น AIRWAVE+', 'ติดตั้งระบบเติมอากาศให้บ้าน เครื่องเติมอากาศ FRESHNERGY', 'เครื่องเติมอากาศดี SCG Active AIR Quality', 'บริการติดตั้งชุดกระเบื้องและปล่องระบายอากาศ SCG สำหรับระบายอากาศร้อนในโถงหลังคา']"
recJWRDdJTxjB4gAQ,2025-06-12T02:36:50.000Z,ไฟเซ็นเซอร์ไม่ติด,Motion Light Not Turning On,ไฟรักษาความปลอดภัยที่มีเซ็นเซอร์ตรวจจับการเคลื่อนไหวไม่เปิดทำงานเมื่อมีคนผ่าน,The motion-activated security light does not turn on when someone passes by,['recar9Kk6mAh7PvLU'],['rec4tMXDzu9sqy147'],['recZhErluzYLmzVhp'],"['recWgl42lEPM7sFCE', 'recaMlGvSRSuqozg2']",['ไฟเซ็นเซอร์รักษาความปลอดภัย'],['ตรวจมุมกล้องและไฟเซ็นเซอร์'],['ปรับมุมเซ็นเซอร์'],"['บริการซ่อมไฟฟ้าภายในบ้าน', 'บริการติดตั้งอุปกรณ์เพื่อบ้านอัจฉริยะ']"
recJXD3NfRNPjwQhr,2025-06-12T02:36:50.000Z,ไม่เข้าใจประกันภัยบ้าน,Unclear on Insurance Coverage,เจ้าของบ้านไม่เข้าใจเงื่อนไขและความคุ้มครองของประกันภัยบ้านที่ถืออยู่,Homeowner is unsure about the terms and coverage of their home insurance policy,['recgJk3GK5sIMc7BD'],['recQepvMgQeaC1oOH'],['recguu4LMvI4kLiJb'],,['กรมธรรม์ประกันภัยบ้าน'],['ทบทวนกรมธรรม์ประกันบ้าน'],['เช็คประกัน/นโยบายช่วยเหลือ'],
