id,createdTime,name_th,name_en,description_th,description_en,problem
rec90zq10FTat1Csg,2025-06-12T03:47:28.000Z,ทำความสะอาดของตกแต่ง,Clean Decorative Items,"ปัดฝุ่นหรือเช็ดทำความสะอาดของตกแต่งต่าง ๆ (กรอบรูป,  รูปปั้น,  ชั้นโชว์) ให้เงางามเหมือนใหม่ ห้องจะดูสดใสขึ้น","Dust off and wipe down decorative pieces (picture frames,  figurines, 	 display shelves) to make them shine like new; a cleaner look will brighten up the room",['rec281us7oEtid4a0']
rec9JvWaLRF8yFBPZ,2025-06-12T03:47:28.000Z,โรยเบกกิ้งโซดาดับกลิ่น,Use Baking Soda for Pet Odor,โรยผงเบกกิ้งโซดาบาง ๆ บนจุดที่สัตว์เลี้ยงฉี่หรือบนพรมที่มีกลิ่น ทิ้งไว้สักพักแล้วดูดฝุ่นออก ช่วยลดกลิ่นไม่ดี,"Sprinkle a light layer of baking soda on areas where a pet urinated or on a smelly rug,  let it sit a while,  then vacuum it up to neutralize odors","['reczm4pdXlz5GwUJh', 'recwhMM2dWDJhNXsV']"
rec9L76QNvp0JNK63,2025-06-12T03:47:28.000Z,ทำความสะอาดคราบเชื้อรา,Clean Mold Stains with Solution,ผสมสารฟอกขาวหรือน้ำส้มสายชูเจือจาง ขัดคราบเชื้อราหรือตะไคร่น้ำบนผนังออก ล้างน้ำสะอาดแล้วเช็ดให้แห้ง,"Mix a mild bleach solution or vinegar,  scrub the mold or algae stains off the wall,  rinse with clean water,  then dry the area thoroughly",['rec4zYgI9ZFvB3XiM']
rec9kPJwl9tPGWfnU,2025-06-12T03:47:28.000Z,วางกาวดักหนู,Set Glue Traps for Mice,เมื่อรู้ว่ามีหนูในบ้าน แต่วางกับดักกรงไม่มี ให้ใช้แผ่นกาวดักหนูวางตามทางที่คาดว่าหนูวิ่งผ่านเป็นการแก้ขัด, If you know a mouse is in the house but a cage trap isnt available - lay out sticky glue traps along suspected pathways as a makeshift solution to catch the rodent,['recI5OmeM7Heiuziu']
recBp0ZSPWvAXFQG7,2025-06-12T03:47:28.000Z,ขุดร่องน้ำชั่วคราว,Dig Temporary Drainage Ditch,ถ้ามีน้ำขังในสนามที่ไม่ยอมซึม ให้ใช้จอบขุดร่องเล็ก ๆ เป็นทางระบายน้ำออกไปยังพื้นที่ต่ำกว่าชั่วคราว,"If water is pooling in the yard,  use a shovel to dig a small channel allowing the water to drain off to a lower area as a temporary measure",['recpLW8eqiBurotNf']
recBu8Ub3O4pdH3Wg,2025-06-12T03:47:28.000Z,รีสตาร์ทเราเตอร์/โมเด็ม,Restart Router/Modem,ปิดเครื่องเราเตอร์และโมเด็ม รอประมาณ 30 วินาทีแล้วเปิดใหม่ เพื่อแก้ปัญหาเบื้องต้นเมื่อเน็ตหลุดหรือช้า,"Turn off the router and modem,  wait ~30 seconds,  then turn them back on to quickly address connectivity drops or slowdowns","['recxsjCTLDOFFbpNz', 'recle5VxWpgPH0w7o', 'recewNHMZxNCOyNOp', 'recm3VSu1cYt6MV8V', 'recuGcsADLx4FdtIu']"
recCOEpVcQn3u6TGC,2025-06-12T03:47:28.000Z,ค้ำหรือมัดกิ่งที่เอน,Prop or Tie Leaning Branch,สำหรับกิ่งไม้ใหญ่ที่เอียงใกล้หัก ให้ใช้ไม้ค้ำยันหรือเชือกผูกยึดกิ่งเข้ากับลำต้นหรือเสาไว้ชั่วคราวป้องกันร่วง,"For a big branch thats leaning and at risk of breaking,  prop it up with a support stick or tie it back to the trunk or a post to temporarily prevent it from falling",['recTTfw8kqdOIYWSL']
recDtbhSlNq5NMjDX,2025-06-12T03:47:28.000Z,ติดตาข่ายกันใบไม้,Install Leaf Guard on Gutter,วางหรือติดตั้งตาข่ายกันใบไม้บนรางน้ำฝนตรงจุดที่ใบไม้ตกลงมามาก เพื่อป้องกันการอุดตันในอนาคต,Place or attach a gutter guard mesh over sections of the gutter that catch many leaves to prevent future clogging,['recxbiqdQp8VcjZOL']
recG19cwBYishDoeg,2025-06-12T03:47:28.000Z,ลดค่าใช้จ่ายฟุ่มเฟือย,Cut Non-Essential Spending,หากงบซ่อมบ้านเริ่มตึง ให้พิจารณาลดหรือเลื่อนการซื้อตกแต่งหรือสิ่งของไม่จำเป็นออกไปก่อนเพื่อรักษาเงินสด,"If the home repair budget is tight,  hold off on buying non-essential decor or items to conserve cash for necessary fixes","['rec9QehHoASk3FH7M', 'recR2D2QWlCXo6Tno']"
recHZgDnXfNJGPuYt,2025-06-12T03:47:28.000Z,โรยผงชอล์กกันมด,Draw Ant Chalk Barriers,ใช้ชอล์กกันมด (ชอล์กจีน) ขีดตามแนวทางที่มดเดินหรือรอบๆ ภาชนะอาหาร มดจะไม่ข้ามผ่านชั่วคราว,"Use ant-repellent chalk to draw lines across ant trails or around food containers,  as ants will not cross these lines for a short period","['recwsonYZMeRi75Dm', 'recUPXHvx6i6Ve7Kk']"
recI2eYB8QQese1sY,2025-06-12T03:47:28.000Z,ทำความสะอาดคอยล์เย็นแอร์,Clean AC Evaporator Coil,ถ้าแอร์มีกลิ่นหรือลมไม่แรง เปิดหน้ากากแอร์และใช้สเปรย์โฟมล้างคอยล์เย็นเพื่อเพิ่มประสิทธิภาพและลดกลิ่น,"If the AC smells or airflow is weak,  open the indoor unit cover and use a foaming cleaner on the evaporator coil to improve performance and reduce odor","['recWDseEPuNsnVuqA', 'recT3vKKrvx7pcWac']"
recJhf4ZcNZO6bwMH,2025-06-12T03:47:28.000Z,ถอดปลั๊กอุปกรณ์ที่ไม่ได้ใช้,Unplug Unused Devices,ลดโหลดไฟในวงจรชั่วคราวด้วยการถอดปลั๊กเครื่องใช้ไฟฟ้าที่ไม่จำเป็นออก เพื่อลดความเสี่ยงไฟเกิน,Reduce circuit load by unplugging non-essential appliances to lower the risk of overload temporarily,"['recKnKDWPpAxDpYke', 'recxKrkswZtwLUw50']"
recK4CH75sOnE1xsx,2025-06-12T03:47:28.000Z,เปลี่ยนช่องสัญญาณ Wi-Fi,Change Wi-Fi Channel,"เข้าเมนูตั้งค่าเราเตอร์ เลือกเปลี่ยน channel ของ Wi-Fi (เช่น 1,6,11) เผื่อแก้ปัญหาคลื่นชนกับข้างบ้านสัญญาณอ่อน","Access the router settings and change the Wi-Fi channel (e.g.to 1,6, or 11) in case the default channel is congested by neighboring networks,  to improve signal strength",['recle5VxWpgPH0w7o']
recKKAnoSLgGPKmdy,2025-06-12T03:47:28.000Z,เปลี่ยนยางก๊อกแก้ก๊อกรั่ว,Replace Faucet Washer/O-Ring,ถอดหัวก็อกน้ำแล้วเปลี่ยนแหวนยางหรือโอริงใหม่เมื่อก็อกน้ำหยด เพื่อหยุดการรั่ว,Disassemble the faucet and replace the worn rubber washer or O-ring when its dripping to stop the leak,['rec0MtyTgmKTfzd3B']
recKhqq0PfwSkRbYg,2025-06-12T03:47:28.000Z,ปิดวาล์วน้ำเมื่อท่อแตก,Shut Main Valve for Burst Pipe,กรณีท่อแตกมีน้ำพุ่ง ให้รีบปิดวาล์วน้ำประปาหลักของบ้านทันทีเพื่อลดความเสียหายก่อนเรียกช่าง,"In case of a burst pipe spraying water,  immediately shut off the homes main water valve to minimize damage before calling a plumber",['rec6ZZ2BixIR9hyPz']
recL9Ixcx8nCvmS1d,2025-06-12T03:47:28.000Z,ขันหรือเสริมตัวยึดรางน้ำ,Secure Loose Gutter Bracket,ถ้ารางน้ำฝนหย่อน ให้ขันสกรูขายึดที่หลวม หรือเพิ่มขายึดใหม่ในจุดที่ห่าง เพื่อพยุงรางน้ำให้แข็งแรง,"If the gutter is sagging,  tighten any loose mounting screws or add an extra bracket where needed to support the gutter","['recaE1lpTFM3qcAzd', 'recxbiqdQp8VcjZOL']"
recLB5teMgaQTffHa,2025-06-12T03:47:28.000Z,ใช้ทรายแมวดับกลิ่น,Use Cat Litter for Odor Absorption,หากถังขยะเปียกมีกลิ่นมาก ให้ใส่ทรายแมวหรือผงดับกลิ่นลงไปในถังเล็กน้อยเพื่อดูดซับกลิ่นชั่วคราว,"If the wet garbage bin smells bad,  sprinkle a bit of cat litter or deodorizing powder in the bin to absorb odors temporarily",['reczm4pdXlz5GwUJh']
recLDnlVJ376kijlw,2025-06-12T03:47:28.000Z,ทิ้งเศษอาหารทุกวัน,Dispose of Food Scraps Daily,ขยะเศษอาหารหรือของเน่าเสียง่าย ควรเทหรือฝังทิ้งทุกวัน อย่าเก็บค้างคืน เพื่อลดกลิ่นและสัตว์รบกวน,"Dispose of food scraps or perishable waste daily (compost or sealed trash),  rather than leaving it overnight,  to reduce odors and pests",
recLrJ22VBioIludD,2025-06-12T03:47:28.000Z,แยกเก็บของเก่าชิ้นใหญ่,Isolate Bulky Waste Items,ของชิ้นใหญ่ที่ยังเอาออกไม่ได้ทันที เช่น เฟอร์นิเจอร์เก่า ให้ย้ายไปไว้พื้นที่นอกตัวบ้านหรือมุมโรงรถชั่วคราวเพื่อไม่เกะกะ,"For large items that cant be hauled away immediately (like old furniture),  move them to an outside area or a corner of the garage temporarily so they dont clutter the living space",['recfIvMf1niXfJs1t']
recMmfUSg2Zmcb9nR,2025-06-12T03:47:28.000Z,ใช้น้ำส้มสายชูขจัดคราบ,Use Vinegar Solution on Stains,ผสมน้ำส้มสายชูกับน้ำแล้วใช้ผ้าชุบเช็ดคราบสบู่หรือหินปูนในห้องน้ำเพื่อละลายคราบ (แล้วล้างน้ำตาม),Mix vinegar with water and use a cloth to wipe soap scum or limescale in the bathroom to dissolve the deposits (then rinse with water),"['rect30HUVNXuisHEo', 'recLsg9g6Z5IbfuME', 'reczm4pdXlz5GwUJh']"
recMqJLtuXA9ZWW73,2025-06-12T03:47:28.000Z,ขัดขอบประตูที่บวม,Sand Down Swollen Door Edge,ใช้กระดาษทรายหรือกบไสไม้ ขัดหรือไสขอบประตูที่บวมจนเปิดปิดติด ให้บางลงเล็กน้อยจนประตูปิดสนิทได้,Use sandpaper or a hand planer to shave off a bit of the swollen door edge so that it can open and close smoothly again,['recrd9rXbxrLmaLhs']
recN9TWmXvfSKF2P5,2025-06-12T03:47:28.000Z,เปลี่ยนกระเบื้องที่เสียหาย,Replace Damaged Roof Tile,นำกระเบื้องหลังคาที่แตกร้าวหรือหลุดออก แล้วใส่แผ่นใหม่แทน (หรือใช้แผ่นเก่าสำรอง) เพื่อปิดช่องว่าง,Remove any cracked or missing roof tile and slide a new (or spare) tile in its place to cover the gap,"['recVYKvvxXqkzKRJ3', 'rect7uqNcq3efZ4lj', 'reciVHX8OWS1IxLeh']"
recNhg3OmuYKakFxr,2025-06-12T03:47:28.000Z,ติดตั้งตัวขยายสัญญาณ,Install Wi-Fi Extender,นำ Wi-Fi extender เสียบปลั๊กตรงจุดที่สัญญาณอ่อนเพื่อทวนและขยายสัญญาณไปยังโซนนั้นอย่างรวดเร็ว,Plug in a Wi-Fi extender halfway between the router and the weak signal area to quickly repeat and boost Wi-Fi coverage into that zone,['recle5VxWpgPH0w7o']
recNhzQx1GK0v8rpb,2025-06-12T03:47:28.000Z,ขันสกรูพัดลมที่หลวม,Tighten Loose Fan Screws,หากพัดลมระบายอากาศมีเสียงสั่นผิดปกติ ให้ขันน็อต/สกรูที่ยึดพัดลมให้แน่นขึ้นเพื่อลดเสียง,"If the exhaust fan makes unusual rattling,  tighten the screws or bolts securing it to reduce the noise","['recbuO3HzIiB8GQR7', 'recCw5FrTwc4SUu1L']"
recR2DmmtRVYu2VKD,2025-06-12T03:47:28.000Z,เปลี่ยนผ้าม่าน/ปลอกหมอน,Swap Curtains or Cushion Covers,นำผ้าม่านหรือปลอกหมอนลาย/สีใหม่ (ที่มีสำรองหรือจากห้องอื่น) มาใช้แทนอันเดิมชั่วคราวเพื่อเปลี่ยนบรรยากาศห้อง,Use a different set of curtains or cushion covers (ones you have in storage or from another room) to temporarily change the room’s look and atmosphere,['rec281us7oEtid4a0']
recRmZkSq0m5Vk0Fj,2025-06-12T03:47:28.000Z,รีเซ็ตเราเตอร์เป็นค่าโรงงาน,Factory Reset Router (Last Resort),เมื่อปัญหาเน็ตยังไม่หายและสงสัยว่าเกิดจากการตั้งค่าผิด ให้กดปุ่ม reset ที่เราเตอร์ค้าง ~10 วินาทีเพื่อล้างการตั้งค่า (จากนั้นตั้งค่าใหม่),"If issues persist and a misconfiguration is suspected,  press and hold the routers reset button for ~10 seconds to restore factory settings (then reconfigure the router from scratch)",['recm3VSu1cYt6MV8V']
recSHfUoQIm8b6kLN,2025-06-12T03:47:20.000Z,ซื้อแฟ้ม/ตู้นิรภัยขนาดเล็ก,Obtain a Safe File/Box,ซื้อกล่องนิรภัยกันไฟ-น้ำราคาย่อมเยาสักใบมาเก็บรวมเอกสารบ้านที่เหลืออยู่ เพื่อป้องกันความเสียหายเพิ่มเติม,"Buy an affordable small fire/water-resistant safe box to store all remaining home documents together,  protecting them from further damage or loss",['recWAIeqPhaFLElGs']
recSimArQUd62sOYe,2025-06-12T03:47:28.000Z,รองพื้นกันชื้นก่อนทาสี,Use Moisture-Resistant Primer,บริเวณผนังที่เคยมีสีโป่งพองเพราะชื้น เมื่อขูดออกแล้วให้ทาสีรองพื้นชนิดกันเชื้อราหรือกันความชื้นก่อนลงสีจริง,"On walls that had paint blisters from moisture,  after scraping off,  apply a mold-resistant or moisture-seal primer before repainting with the finish coat",['recwrMRo4ua9Q0EbV']
recULcRd2lodAuVG8,2025-06-12T03:47:20.000Z,ขยายความคุ้มครองประกัน,Extend Insurance Coverage,โทรติดต่อบริษัทประกันเพื่อขอเพิ่มความคุ้มครอง (rider) หรือปรับทุนประกัน ถ้าพบว่าประกันบ้านเดิมคุ้มครองไม่ครอบคลุมความเสี่ยงปัจจุบัน,Call the insurance provider to add riders or increase coverage if you realize the current homeowners policy doesnt cover certain risks you now face,['recZubem63liuAbJL']
recVZCekylDdlHivk,2025-06-12T03:47:28.000Z,ฉีดสเปรย์แมลงสาบตอนกลางคืน,Nighttime Roach Spray,ตอนกลางคืนที่แมลงสาบออกมา ให้ฉีดสเปรย์กำจัดแมลงสาบตามซอกมุมห้องครัวและท่อน้ำทิ้ง แล้วปิดห้องไว้ ระวังสัตว์เลี้ยง,"At night when roaches are active,  spray cockroach killer into kitchen crevices and drains,  then keep the area closed off (and pets away) for a while",['rec6xAp5iLGJdsEgu']
recVfZW8jLi9V2l2T,2025-06-12T03:47:28.000Z,ใช้ปั๊มยางแก้ส้วมตัน,Use Plunger for Clogged Toilet,เมื่อโถส้วมตัน กดน้ำไม่ลง ให้ใช้ลูกยางปั๊ม (plunger) สูบดันสิ่งอุดตันออกเป็นการแก้เบื้องต้น,"If the toilet is clogged and wont flush,  use a plunger to push and dislodge the blockage as an initial fix",['recCcAEKfOSRbfB8g']
recXBnoxUsHjP0y5b,2025-06-12T03:47:28.000Z,ตัดแต่งหญ้า/ต้นไม้เองชั่วคราว,Manually Trim Overgrowth,หากหญ้ารกหรือต้นไม้กิ่งยื่นรบกวน ให้ใช้กรรไกรตัดหญ้าหรือเลื่อยตัดแต่งกิ่งในส่วนที่พอทำเองได้ไปก่อน,"If the grass is overgrown or branches encroach,  use a grass shears or pruning saw to trim down what you can manage by yourself as a stopgap measure",['recVy7GXi9WRTUJXO']
recXsOIBM4MbM6Coa,2025-06-12T03:47:28.000Z,พันเทปแก้ฉนวนสายไฟชั่วคราว,Tape Exposed Wire Temporarily,หากพบจุดที่สายไฟฉนวนขาดเล็กน้อย และยังไม่มีช่าง ให้ใช้เทปพันสายไฟพันปิดไว้ชั่วคราว,"If you find a small spot of exposed wire and cannot get an electrician immediately,  wrap it with electrical tape as a temporary fix","['recxKrkswZtwLUw50', 'recQsQqNwmLxPYfAr']"
recYMlYN8gScW4MDd,2025-06-12T03:47:28.000Z,ซ่อมหัวสปริงเกลอร์/สายยาง,Fix Sprinkler Head or Hose Leak,เปลี่ยนหัวสปริงเกลอร์อันใหม่แทนอันที่ตันหรือแตก และใช้เทปพันเกลียวหรือเข็มขัดรัดแก้จุดรั่วที่สายยางเป็นการชั่วคราว,"Replace any sprinkler heads that are broken or clogged,  and use plumbers tape or hose clamps to temporarily seal any leaks in hoses",['recj7aXHGgIIuyUCi']
recYglfHy7yQ10cbi,2025-06-12T03:47:28.000Z,ขูดและทาสีเฉพาะจุด,Scrape & Repaint Patch,บริเวณที่สีผนังลอกล่อน ให้ใช้เกรียงขูดสีส่วนที่ลอกออก แล้วทาสีรองพื้นและสีจริงแต้มเฉพาะบริเวณนั้นใหม่,"On areas where wall paint is peeling,  scrape off the loose paint,  then apply primer and touch up with matching paint just on that spot","['recj4DVW52tSyYMNS', 'recVlSVdEsqfrQ5fj', 'rec41KAyDUAF6qEa9', 'recwrMRo4ua9Q0EbV']"
recZhErluzYLmzVhp,2025-06-12T03:47:28.000Z,ปรับมุมเซ็นเซอร์,Adjust Motion Sensor Angle,ขยับหรือหมุนมุมของเซ็นเซอร์ตรวจจับความเคลื่อนไหวที่ชอบแจ้งเตือนหลอก เพื่อลดการตรวจจับความเคลื่อนไหวของสัตว์เลี้ยงหรือสิ่งรบกวน,"Reposition the motion detector that frequently gives false alarms,  aiming it away from pets or sources of false triggers to reduce nuisance alerts","['reciz7BtQ3BVYgD0F', 'recJWRDdJTxjB4gAQ']"
recZzv7YMMdMa66H4,2025-06-12T03:47:28.000Z,เปลี่ยนฟิวส์หรือเบรกเกอร์ที่ไหม้,Replace Blown Fuse/Breaker,กรณีฟิวส์ขาดหรือเบรกเกอร์เสีย ให้เปลี่ยนอันใหม่ที่มีขนาดแอมป์เท่ากัน,"If a fuse is blown or a breaker is faulty,  replace it with a new one of the same amp rating","['recxKrkswZtwLUw50', 'recfEeF3Oc1Alph1C']"
recaOGNndeZOSF7tN,2025-06-12T03:47:28.000Z,ใช้เครื่องฟอกอากาศ,Use Air Purifier for Dust/Odor,นำเครื่องฟอกอากาศมาตั้งเปิดในห้องที่มีฝุ่นหรือละอองเยอะหรือมีกลิ่นไม่พึงประสงค์ เพื่อช่วยลดฝุ่นและกลิ่นในระยะสั้น,Run an air purifier in a room with a lot of dust or lingering bad smells to help reduce particulates and odors in the short term,['recBZMyWx5SNYNR43']
recbXqF5GLotk9Xmy,2025-06-12T03:47:28.000Z,โรยเบกกิ้งโซดาดับกลิ่นพรม,Sprinkle Baking Soda on Carpets,หากพรมหรือโซฟามีกลิ่นอับ ให้โรยผงเบกกิ้งโซดาบางๆ ทิ้งไว้สัก 15 นาทีแล้วดูดฝุ่นออกเพื่อลดกลิ่น,"If the carpet or sofa has a musty odor,  lightly sprinkle baking soda on it,  let it sit for 15 minutes,  then vacuum it up to neutralize the smell",['recBZMyWx5SNYNR43']
recbaHqGlY3TxWtml,2025-06-12T03:47:28.000Z,ปรับระดับพื้นผิวเฉพาะจุด,Level Uneven Floor Patch,หากพื้นบางจุดทรุดเล็กน้อย ทำให้มีแอ่ง ให้ใช้ปูนปรับระดับเทเฉพาะจุดนั้นเพื่อลดความต่างระดับ,"If a floor section has minor settling causing a low spot,  use a self-leveling compound or patching cement on that spot to even it out for now",['recVOJOQnB8qIgviw']
recbs4ibEBzfcbIU6,2025-06-12T03:47:28.000Z,ปิดฝาถังขยะให้มิดชิด,Keep Trash Bin Lids Sealed,ตรวจดูว่าถังขยะทุกใบมีฝาปิด และปิดฝาให้สนิทหลังทิ้งขยะทุกครั้ง เพื่อลดกลิ่นและกันแมลงวัน,Ensure each trash can has a lid and always seal the lid tightly after disposing of garbage to reduce smell and keep flies out,"['recbAkCxgHMtiqFIb', 'rec0Rp87rtsWA9AZf']"
recbvoGafdUHgmSYZ,2025-06-12T03:47:28.000Z,ทาสีกันสนิมโครงเหล็ก,Apply Rust Proof Paint to Steel,ใช้แปรงขัดคราบสนิมบนเหล็กโครงสร้างที่เริ่มผุ แล้วทาน้ำยาหรือสีเคลือบกันสนิมทับไว้ชั่วคราว,"Brush off rust on structural steel thats corroding,  then apply a rust-inhibiting primer or paint over it as a temporary protective measure",['recYAhwvpomV4qWLX']
recc2G642zybdk4En,2025-06-12T03:47:28.000Z,เติมดินอุดโพรงใต้บ้าน,Backfill Soil Under Foundation,เมื่อพบโพรงใต้ฐานบ้านจากดินทรุด ให้ตักดินหรือทรายเติมเข้าไปในช่องโพรงนั้นเพื่อลดพื้นที่ว่าง (แก้ขัดคราว),"If a void under the foundation is found due to soil settling,  shovel some soil or sand into the void to fill it as a temporary measure","['recVOJOQnB8qIgviw', 'recv5bGQjR6nxlngS', 'recPO2Z3SzOINNRGO']"
receYRNJW3KWtPGPZ,2025-06-12T03:47:28.000Z,เติมน้ำยาแอร์ (ช่างเท่านั้น),Recharge AC Refrigerant (Pro Only),กรณีแอร์ไม่เย็นเพราะน้ำยาแอร์อาจรั่วหรือขาด ให้ช่างผู้ชำนาญเติมน้ำยาทำความเย็นให้เพียงพอ,"If the AC isnt cooling due to low refrigerant,  have a professional recharge the refrigerant to the proper level",['recWDseEPuNsnVuqA']
recf8MauaiHesbJXm,2025-06-12T03:47:28.000Z,ใช้งาน e-Document,Use Digital Document Alternatives,ดาวน์โหลดแอปหรือใช้บริการ e-Document ของหน่วยงานรัฐ (ถ้ามี) สำหรับเอกสารบ้าน เช่น ภาษีที่ดิน หรือใบอนุญาตก่อสร้าง เพื่อเข้าถึงข้อมูลออนไลน์ชั่วคราว,Download or use any available e-Document services from government agencies for home documents (like property tax or building permits) so you can access needed info online for now,"['recWAIeqPhaFLElGs', 'recazJxtMEOPlUCSi']"
recguu4LMvI4kLiJb,2025-06-12T03:47:28.000Z,เช็คประกัน/นโยบายช่วยเหลือ,Check Insurance/Relief Policies,ถ้าเกิดความเสียหายใหญ่ เช่น หลังคาปลิวจากพายุ ให้ตรวจสอบว่าครอบคลุมประกันหรือมีโครงการรัฐช่วยเหลือหรือไม่ ก่อนจ่ายเองทั้งหมด,"If major damage occurs (e.g.,  roof blown off in a storm),  find out if its covered by insurance or if theres a government relief program before paying entirely out of pocket",['recJXD3NfRNPjwQhr']
rechQNohHsaBnsW7r,2025-06-12T03:47:28.000Z,ฉีดสเปรย์ยาฆ่าแมลงสวน,Spray Garden Insecticide,เมื่อเห็นแมลงศัตรูพืชระบาด เช่น เพลี้ย ให้ใช้สเปรย์ยาฆ่าแมลงสูตรอ่อนฉีดพ่นบริเวณที่พบเพื่อหยุดการทำลาย,"If you notice a pest infestation like aphids,  use a mild insecticide spray on the affected plants to quickly curb the damage","['recAZyJBkIljH3C4E', 'recwsonYZMeRi75Dm']"
